Red Secondary,Blue Primary
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,99.99271619461896
99.92857809724957,99.97822940310428
99.89887775082006,99.9697136275937
99.84818204670344,99.96144164404126
99.78983381448232,99.94988802947039
99.74543512625068,99.94562893496267
99.73206631603968,99.93157986050592
99.72279848939377,99.91859979401742
99.68849132324293,99.90040555816161
99.63421002757369,99.89296633342438
99.62092141022134,99.87427767284917
99.58065699495988,99.8679122009458
99.53888141107647,99.8624093092933
99.5077478051648,99.83853438928811
99.38671492877894,99.81250068890478
99.2917667133577,99.79463353681425
99.21204123462783,99.77021170190532
99.14040263859194,99.75543829617862
99.05822780631838,99.72148519688986
98.96014466265841,99.6832053394668
98.83063030542377,99.65407532697867
98.72555750942522,99.63234197837224
98.61304979152203,99.61325133707491
98.49868066456762,99.58448930875244
99.38764048275705,99.56518451624954
99.28310966937573,99.5419763877234
99.16589761515834,99.52780880961353
99.07327745613028,99.49900642577369
98.95893773101994,99.47230390039165
98.81906101175835,99.44229260413844
98.61128212086982,99.41620315212062
98.49000031179013,99.40455547148963
99.49500031497166,99.59814802694694
99.43069292532407,99.57580581046396
99.30343941460158,99.55688839017523
99.16060652052383,99.54430847952291
99.07781092127172,99.73869044276425
99.02284002253104,99.70220430822381
98.84250783450287,99.65742083914267
98.67419478224096,99.61012774685034
98.57439880931223,99.79833794098302
98.45913577649067,99.75212456721681
98.3194105037677,99.73127635334528
98.2520964780073,99.90198603740764
98.08320729111878,99.88347040873461
98.97451061090646,99.85470752987239
98.79257967386235,99.82858458280747
98.645185688204,99.79691570172811
98.44376729820547,99.75822341576047
98.23060619612967,99.72450855957021
98.0185598440763,99.66839936561254
97.77978209809122,99.62912373301533
97.63680510178645,99.57087178863371
97.40038222711385,99.52359766496333
97.24516063224063,99.47095930163863
96.969024774293,99.43603096249049
96.78940220868077,99.40216692060456
97.60896766945262,99.36235958923751
97.4454514254757,99.32583807635328
97.21583712428595,99.27697354612546
97.04012603624824,99.45129072803078
96.82842220815313,99.40959828713696
96.60557123753767,99.37697177190519
96.54140426023939,99.55339198256415
96.4309328335218,99.53231257905352
98.3623680836793,99.50473544796999
98.30328872359806,99.67538508205828
98.18950386058694,99.63531448941049
98.04140298319312,99.82094799920095
97.84328445987744,99.77863043840438
97.5844501661286,99.7093593984974
97.31443553288014,99.68263715484044
98.18951089305767,99.83437211892142
98.01016889499333,99.78201599791664
97.7921787672985,99.73655143393579
97.56639329582042,99.70354218695151
97.40704205218094,99.65189858192711
97.14889407126341,99.60459616900813
96.84093302960568,99.55167127089092
96.66237915191537,99.50742903216462
98.59115015438377,99.46901261140901
98.32978958704305,99.42977506063399
98.07448736668948,99.37414170277822
97.68356314421185,99.30780928701192
97.2935198607834,99.24921156650778
96.96914146426188,99.4201155647244
96.80209799583753,99.38431802591944
97.65223755037601,99.34175007717221
97.45161352770623,99.30120749779945
98.2347910666857,99.2425585357188
97.99839279555852,99.193999584563
97.70305777669026,99.154436487185
97.4535745426747,99.10160353966604
97.3157249300163,99.2196953919527
96.96213217080721,99.13934014430144
96.50548288660134,99.06075389757633
96.17804062963758,98.97657796735123
95.75390307474584,98.89222321805536
95.45066005799131,98.81907191152214
95.09166310477349,98.93574528265923
94.90382506662657,99.29811687622686
94.76390474232934,99.4707991781501
94.69690083990679,99.88125499672043
94.45649189243008,99.82500419266132
94.11334774181412,99.77167229541006
94.94054431824625,99.71748151405461
94.60605350296778,99.66005679394522
95.42298831744533,99.59584913781322
94.95370364932492,99.52342479315352
94.60926952410115,99.47361813077131
95.29081784346826,99.43603134604575
97.34332311901527,99.37004739646393
96.95866883486904,99.30220228407492
96.45022642343436,99.21340552319896
95.97851674194823,99.16183333439795
95.47681180014368,99.08298421911022
95.04606630926449,98.98026566985736
94.59222590067994,99.11853649135433
94.18124229823327,99.0271046873253
94.97168434254124,98.95838706094388
95.62665158070733,98.88793479038956
95.16503475856682,98.8108843733366
95.8271829153309,98.72025118918569
95.29795605074514,98.6361121423204
94.74000316421515,98.56597503232842
94.37251672413959,98.71766218594802
95.22192561827615,98.87257714403346
94.9387015154666,98.79252580786294
94.62198337857133,98.96510296740317
95.7371670679836,99.36450359154638
95.51522788320048,99.5544725647712
95.35647293650774,99.52821889503343
96.34373484234376,99.46499032325242
95.90764143892898,99.39734303021547
96.80254440616466,99.3062770582003
96.24934881069595,99.22913388162692
96.89750351017975,99.33314106278776
96.4538184334172,99.25245277456739
95.91964037888496,99.41022912345349
95.41334357717324,99.3194017223079
94.72643474350362,99.21180370909842
94.0619133340551,99.1297040758806
94.68451662665456,99.03682334637823
94.0628169457881,98.95825622420506
93.50272362785206,98.85983442883432
92.91010992620444,99.01512162132968
92.58768057419267,98.94417872901857
93.43008907886097,98.8591136174142
92.80549396917863,98.77625144637923
93.5607410237144,98.91765011714939
92.99657694400418,98.84150242815177
93.68635150942708,99.00351921277279
93.37050120546542,99.14796814779903
92.83708404927478,99.07095213985646
92.26693711860362,99.20579867298214
91.70124524523521,99.06101830755158
91.24911456406271,98.97597691032864
